Month,Amazon,D2COnline,Other,Retailercom,TraditionalRetail
Oct'20,268086155,93801876,16482375,89863530,57833744
Nov'20,268406267,101955873,17610046,137530040,57833744
Dec'20,285065516,121147972,20922828,121836511,57833744
Jan'21,238537388,103792888,21671127,97277255,36809073
Feb'21,216580892,95679164,17585002,86000733,36809073
Mar'21,240285283,111043114,19342926,95208793,36809073
Apr'21,219665793,97580281,17756032,87259666,36850243
May'21,224576158,107558249,17040750,93295241,36850243
Jun'21,252348324,100452004,15742318,85381652,36850243
Jul'21,214567941,92785155,16798449,88451865,39995210
Aug'21,189061360,104340982,18206641,92638503,39995210
Sep'21,217663947,102800452,17545944,78223389,39995210
Oct'21,249888758,118215113,19194873,79735201,65544520
Nov'21,288176359,164428967,18744700,134817282,65544520
Dec'21,289670652,143621352,18710606,124745846,65544520
Jan'22,275255670,152783480,20275656,83332237,31517249
Feb'22,258823653,121355046,16947850,75634616,31517249
Mar'22,274657367,126923715,18531962,81567703,31517249
Apr'22,262967870,120234382,18197115,77909343,60806190
May'22,267039795,123452246,18906052,80020146,60806190
Jun'22,251462818,134491741,18531104,74748814,60806190
Jul'22,324821965,113893503,21028899,84364873,62630376
Aug'22,248755811,132767146,20898745,88087119,64150531
Sep'22,240569221,125173827,19751136,87105928,63846500
